[22, 22, 1.0]
[12, 12, 1.0]
[24, 24, 1.0]
[91, 73, 0.8021978021978022]        从不可到的基本块上一块开始执行可以遍历以前未遍历基本块
[18, 18, 1.0]
[24, 24, 1.0]
[100, 100, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[18, 17, 0.9444444444444444]        从不可到的基本块上一块开始执行可以遍历以前未遍历基本块
[15, 15, 1.0]
[32, 32, 1.0]
[2, 2, 1.0]
[1, 1, 1.0]
[2, 2, 1.0]
[74, 35, 0.47297297297297297]       0x4003728从不可到的基本块上一块开始执行可以遍历以前未遍历基本块     还有一个nop基本块
[7, 7, 1.0]
[27, 27, 1.0]
[12, 12, 1.0]
[6, 6, 1.0]
[3, 3, 1.0]
[3, 3, 1.0]
[3, 3, 1.0]
[2, 2, 1.0]
[5, 5, 1.0]
[5, 5, 1.0]
[17, 17, 1.0]
[36, 36, 1.0]
[6, 6, 1.0]
[2, 2, 1.0]
[9, 9, 1.0]
[8, 8, 1.0]
[19, 19, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[5, 5, 1.0]
[5, 5, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[5, 5, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[6, 6, 1.0]
[2, 2, 1.0]
[5, 5, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[6, 6, 1.0]
[43, 43, 1.0]
[4, 4, 1.0]
[9, 9, 1.0]
[5, 5, 1.0]
[8, 8, 1.0]
[6, 6, 1.0]
[6, 6, 1.0]
[10, 10, 1.0]
[2, 2, 1.0]
[5, 5, 1.0]
[9, 9, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[7, 7, 1.0]
[3, 3, 1.0]
[3, 3, 1.0]
[3, 3, 1.0]
[7, 7, 1.0]
[7, 7, 1.0]
[2, 2, 1.0]
[27, 27, 1.0]
[4, 4, 1.0]
[1, 1, 1.0]
[9, 9, 1.0]
[13, 13, 1.0]
[15, 15, 1.0]
[6, 6, 1.0]
[7, 7, 1.0]
[5, 5, 1.0]
[12, 12, 1.0]
[13, 13, 1.0]
[5, 5, 1.0]
[65, 46, 0.7076923076923077]        从不可到的基本块上一块开始执行可以遍历以前未遍历基本块
[8, 8, 1.0]
[34, 34, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[23, 23, 1.0]
[6, 6, 1.0]
[14, 14, 1.0]
[136, 136, 1.0]
[8, 8, 1.0]
[35, 35, 1.0]
[3, 3, 1.0]
[10, 10, 1.0]
[154, 110, 0.7142857142857143]      从不可到的基本块上一块开始执行可以遍历以前未遍历基本块
[38, 38, 1.0]
[2, 1, 0.5]         可到1(8)
[14, 14, 1.0]
[5, 5, 1.0]
[6, 6, 1.0]
[9, 9, 1.0]
[9, 9, 1.0]
[5, 5, 1.0]
[42, 40, 0.9523809523809523]        从不可到的基本块上一块开始执行可以遍历以前未遍历基本块
[10, 10, 1.0]
[8, 8, 1.0]
[12, 12, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[11, 11, 1.0]
[9, 9, 1.0]
[11, 11, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[7, 7, 1.0]
[9, 9, 1.0]
[13, 13, 1.0]
[4, 4, 1.0]
[10, 10, 1.0]
[8, 8, 1.0]
[10, 10, 1.0]
[8, 8, 1.0]
[9, 9, 1.0]
[3, 3, 1.0]
[4, 4, 1.0]
[6, 6, 1.0]
[1, 1, 1.0]
[2, 2, 1.0]
[1, 1, 1.0]
[11, 11, 1.0]
[13, 13, 1.0]
[17, 8, 0.47058823529411764]        可到1(8)
[10, 10, 1.0]
[19, 19, 1.0]
[4, 4, 1.0]
[1, 1, 1.0]
[20, 20, 1.0]
[18, 18, 1.0]
[21, 21, 1.0]
[41, 41, 1.0]
[8, 8, 1.0]
[33, 33, 1.0]
[3, 3, 1.0]
[1, 1, 1.0]
[2, 2, 1.0]
[6, 6, 1.0]
[4, 4, 1.0]
[9, 9, 1.0]
[10, 10, 1.0]
[2, 2, 1.0]
[11, 11, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[7, 7, 1.0]
[16, 16, 1.0]
[48, 48, 1.0]
[2, 2, 1.0]
[20, 18, 0.9]       可到1(8)
[3, 3, 1.0]
[8, 8, 1.0]
[10, 10, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[7, 7, 1.0]
[5, 5, 1.0]
[3, 3, 1.0]
[4, 4, 1.0]
[5, 5, 1.0]
[3, 3, 1.0]
[3, 3, 1.0]
[3, 3, 1.0]
[3, 3, 1.0]
[9, 9, 1.0]
[5, 5, 1.0]
[3, 3, 1.0]
[4, 4, 1.0]
[3, 3, 1.0]
[3, 3, 1.0]
[2, 2, 1.0]
