[22, 22, 1.0]
[34, 34, 1.0]
[97, 97, 1.0]
[1, 1, 1.0]
[3, 3, 1.0]
[8, 8, 1.0]
[8, 8, 1.0]
[13, 13, 1.0]
[54, 54, 1.0]
[40, 40, 1.0]
[151, 81, 0.5364238410596026]       (8)0.7086092715231788   从不可到的基本块上一块开始执行可以遍历以前未遍历基本块
[23, 23, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[18, 17, 0.9444444444444444]        一条指令jmp     从不可到的基本块上一块开始执行可以遍历以前未遍历基本块
[2, 2, 1.0]
[12, 12, 1.0]
[6, 6, 1.0]
[3, 3, 1.0]
[3, 3, 1.0]
[3, 3, 1.0]
[2, 2, 1.0]
[5, 5, 1.0]
[5, 5, 1.0]
[17, 17, 1.0]
[36, 36, 1.0]
[6, 6, 1.0]
[2, 2, 1.0]
[9, 9, 1.0]
[8, 8, 1.0]
[19, 19, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[5, 5, 1.0]
[5, 5, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[5, 5, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[6, 6, 1.0]
[2, 2, 1.0]
[5, 5, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[6, 6, 1.0]
[64, 38, 0.59375]       可到1(8)
[12, 12, 1.0]
[43, 43, 1.0]
[4, 4, 1.0]
[9, 9, 1.0]
[5, 5, 1.0]
[8, 8, 1.0]
[6, 6, 1.0]
[6, 6, 1.0]
[10, 10, 1.0]
[2, 2, 1.0]
[5, 5, 1.0]
[9, 9, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[7, 7, 1.0]
[3, 3, 1.0]
[3, 3, 1.0]
[3, 3, 1.0]
[7, 7, 1.0]
[7, 7, 1.0]
[4, 4, 1.0]
[4, 4, 1.0]
[71, 68, 0.9577464788732394]        没有到达基本块的路径['0x400747c', '0x400748d', '0x40074ae']
[4, 4, 1.0]
[1, 1, 1.0]
[9, 9, 1.0]
[13, 13, 1.0]
[15, 15, 1.0]
[6, 6, 1.0]
[7, 7, 1.0]
[5, 5, 1.0]
[12, 12, 1.0]
[13, 13, 1.0]
[5, 5, 1.0]
[65, 46, 0.7076923076923077]        从不可到的基本块上一块开始执行可以遍历以前未遍历基本块
[8, 8, 1.0]
[34, 34, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[23, 23, 1.0]
[6, 6, 1.0]
[14, 14, 1.0]
[136, 136, 1.0]
[8, 8, 1.0]
[35, 12, 0.34285714285714286]       可到1(8)
[3, 3, 1.0]
[10, 10, 1.0]
[154, 110, 0.7142857142857143]      从不可到的基本块上一块开始执行可以遍历以前未遍历基本块
[38, 38, 1.0]
[2, 1, 0.5]                         一条指令leave
[14, 14, 1.0]
[5, 5, 1.0]
[6, 6, 1.0]
[9, 9, 1.0]
[9, 9, 1.0]
[5, 5, 1.0]
[42, 40, 0.9523809523809523]        可到1(12)
[10, 10, 1.0]
[8, 8, 1.0]
[12, 12, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[11, 11, 1.0]
[9, 9, 1.0]
[11, 11, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[7, 7, 1.0]
[9, 9, 1.0]
[13, 13, 1.0]
[4, 4, 1.0]
[10, 10, 1.0]
[8, 8, 1.0]
[10, 10, 1.0]
[8, 8, 1.0]
[9, 9, 1.0]
[3, 3, 1.0]
[4, 4, 1.0]
[6, 6, 1.0]
[1, 1, 1.0]
[2, 2, 1.0]
[1, 1, 1.0]
[11, 11, 1.0]
[13, 13, 1.0]
[17, 8, 0.47058823529411764]        可到1(8)
[10, 10, 1.0]
[19, 19, 1.0]
[4, 4, 1.0]
[1, 1, 1.0]
[20, 20, 1.0]
[18, 18, 1.0]
[21, 21, 1.0]
[41, 41, 1.0]
[8, 8, 1.0]
[33, 33, 1.0]
[3, 3, 1.0]
[1, 1, 1.0]
[2, 2, 1.0]
[6, 6, 1.0]
[4, 4, 1.0]
[9, 9, 1.0]
[10, 10, 1.0]
[2, 2, 1.0]
[11, 11, 1.0]
[2, 2, 1.0]
[2, 2, 1.0]
[7, 7, 1.0]
[16, 16, 1.0]
[48, 48, 1.0]
[2, 2, 1.0]
[20, 18, 0.9]       可到1(8)
[3, 3, 1.0]
[8, 8, 1.0]
[10, 10, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[1, 1, 1.0]
[7, 7, 1.0]
[5, 5, 1.0]
[3, 3, 1.0]
[4, 4, 1.0]
[5, 5, 1.0]
[3, 3, 1.0]
[3, 3, 1.0]
[3, 3, 1.0]
[3, 3, 1.0]
[9, 9, 1.0]
[5, 5, 1.0]
[3, 3, 1.0]
[4, 4, 1.0]
[3, 3, 1.0]
[3, 3, 1.0]
[2, 2, 1.0]
